Date, Close/Last, Volume, Open, High, Low
3/9/18,$179.98 ,32130360,$177.96 ,$180 ,$177.39 
3/8/18,$176.94 ,24518850,$175.48 ,$177.12 ,$175.07 
3/7/18,$175.03 ,31686450,$174.94 ,$175.85 ,$174.27 
3/6/18,$176.67 ,23273160,$177.91 ,$178.25 ,$176.13 
3/5/18,$176.82 ,27825140,$175.21 ,$177.74 ,$174.52 
3/2/18,$176.21 ,38426060,$172.80 ,$176.30 ,$172.45 
3/1/18,$175 ,48706170,$178.54 ,$179.78 ,$172.66 
2/28/18,$178.12 ,37568080,$179.26 ,$180.62 ,$178.05 
2/27/18,$178.39 ,38885510,$179.10 ,$180.48 ,$178.16 
2/26/18,$178.97 ,37353670,$176.35 ,$179.39 ,$176.21 
2/23/18,$175.50 ,33772050,$173.67 ,$175.65 ,$173.54 
2/22/18,$172.50 ,30953760,$171.80 ,$173.95 ,$171.71 
2/21/18,$171.07 ,37378070,$172.83 ,$174.12 ,$171.01 
2/20/18,$171.85 ,33690660,$172.05 ,$174.26 ,$171.42 
2/16/18,$172.43 ,40113790,$172.36 ,$174.82 ,$171.77 
2/15/18,$172.99 ,50908540,$169.79 ,$173.09 ,$169 
2/14/18,$167.37 ,40382890,$163.05 ,$167.54 ,$162.88 
2/13/18,$164.34 ,32483310,$161.95 ,$164.75 ,$161.65 
2/12/18,$162.71 ,60774900,$158.50 ,$163.89 ,$157.51 
2/9/18,$156.41 ,70583530,$157.07 ,$157.89 ,$150.24 
2/8/18,$155.15 ,54145930,$160.29 ,$161 ,$155.03 
2/7/18,$159.54 ,51467440,$163.09 ,$163.40 ,$159.07 
2/6/18,$163.03 ,68171940,$154.83 ,$163.72 ,$154 
2/5/18,$156.49 ,72215320,$159.10 ,$163.88 ,$156 
2/2/18,$160.50 ,85957050,$166 ,$166.80 ,$160.10 
2/1/18,$167.78 ,44453230,$167.17 ,$168.62 ,$166.76 
1/31/18,$167.43 ,32234520,$166.87 ,$168.44 ,$166.50 
1/30/18,$166.97 ,45635470,$165.53 ,$167.37 ,$164.70 
1/29/18,$167.96 ,50565420,$170.16 ,$170.16 ,$167.07 
1/26/18,$171.51 ,39075250,$172 ,$172 ,$170.06 
1/25/18,$171.11 ,41438280,$174.51 ,$174.95 ,$170.53 
1/24/18,$174.22 ,51368540,$177.25 ,$177.30 ,$173.20 
1/23/18,$177.04 ,32395870,$177.30 ,$179.44 ,$176.82 
1/22/18,$177 ,27052000,$177.30 ,$177.78 ,$176.60 
1/19/18,$178.46 ,31306390,$178.61 ,$179.58 ,$177.41 
1/18/18,$179.26 ,31087330,$179.37 ,$180.10 ,$178.25 
1/17/18,$179.10 ,34260230,$176.15 ,$179.25 ,$175.07 
1/16/18,$176.19 ,29512410,$177.90 ,$179.39 ,$176.14 
1/12/18,$177.09 ,25302200,$176.18 ,$177.36 ,$175.65 
1/11/18,$175.28 ,18653380,$174.59 ,$175.49 ,$174.49 
1/10/18,$174.29 ,23751690,$173.16 ,$174.30 ,$173 
1/9/18,$174.33 ,21532200,$174.55 ,$175.06 ,$173.41 
1/8/18,$174.35 ,20523870,$174.35 ,$175.61 ,$173.93 
1/5/18,$175 ,23589930,$173.44 ,$175.37 ,$173.05 
1/4/18,$173.03 ,22342650,$172.54 ,$173.47 ,$172.08 
1/3/18,$172.23 ,29461040,$172.53 ,$174.55 ,$171.96 
1/2/18,$172.26 ,25400540,$170.16 ,$172.30 ,$169.26 
12/29/17,$169.23 ,25938760,$170.52 ,$170.59 ,$169.22 
12/28/17,$171.08 ,16412270,$171 ,$171.85 ,$170.48 
12/27/17,$170.60 ,21477380,$170.10 ,$170.78 ,$169.71 
12/26/17,$170.57 ,33113340,$170.80 ,$171.47 ,$169.68 
12/22/17,$175.01 ,16339690,$174.68 ,$175.42 ,$174.50 
12/21/17,$175.01 ,20848660,$174.17 ,$176.02 ,$174.10 
12/20/17,$174.35 ,23451420,$174.87 ,$175.42 ,$173.25 
12/19/17,$174.54 ,27393660,$175.03 ,$175.39 ,$174.09 
12/18/17,$176.42 ,29385650,$174.88 ,$177.20 ,$174.86 
12/15/17,$173.97 ,40122100,$173.63 ,$174.17 ,$172.46 
12/14/17,$172.22 ,20442740,$172.40 ,$173.13 ,$171.65 
12/13/17,$172.27 ,23402510,$172.50 ,$173.54 ,$172 
12/12/17,$171.70 ,19088170,$172.15 ,$172.39 ,$171.46 
12/11/17,$172.67 ,34260890,$169.20 ,$172.89 ,$168.79 
12/8/17,$169.37 ,23285760,$170.49 ,$171 ,$168.82 
12/7/17,$169.32 ,25656110,$169.03 ,$170.44 ,$168.91 
12/6/17,$169.01 ,28397810,$167.50 ,$170.20 ,$166.46 
12/5/17,$169.64 ,27315530,$169.06 ,$171.52 ,$168.40 
12/4/17,$169.80 ,32512580,$172.48 ,$172.62 ,$169.63 
12/1/17,$171.05 ,39735110,$169.95 ,$171.67 ,$168.50 
11/30/17,$171.85 ,41484540,$170.43 ,$172.14 ,$168.44 
11/29/17,$169.48 ,41459120,$172.63 ,$172.92 ,$167.16 
11/28/17,$173.07 ,26387240,$174.30 ,$174.87 ,$171.86 
11/27/17,$174.09 ,20591090,$175.05 ,$175.08 ,$173.34 
11/24/17,$174.97 ,14026670,$175.10 ,$175.50 ,$174.65 
11/22/17,$174.96 ,25558680,$173.36 ,$175 ,$173.05 
11/21/17,$173.14 ,25047130,$170.78 ,$173.70 ,$170.78 
11/20/17,$169.98 ,16041550,$170.29 ,$170.56 ,$169.56 
11/17/17,$170.15 ,21884010,$171.04 ,$171.39 ,$169.64 
11/16/17,$171.10 ,23598650,$171.18 ,$171.87 ,$170.30 
11/15/17,$169.08 ,28998220,$169.97 ,$170.32 ,$168.38 
11/14/17,$171.34 ,24683350,$173.04 ,$173.48 ,$171.18 
11/13/17,$173.97 ,16956290,$173.50 ,$174.50 ,$173.40 
11/10/17,$174.67 ,25129510,$175.11 ,$175.38 ,$174.27 
11/9/17,$175.88 ,29422610,$175.11 ,$176.10 ,$173.14 
11/8/17,$176.24 ,24358920,$174.66 ,$176.24 ,$174.33 
11/7/17,$174.81 ,24332120,$173.91 ,$175.25 ,$173.60 
11/6/17,$174.25 ,34770480,$172.37 ,$174.99 ,$171.72 
11/3/17,$172.50 ,59332210,$174 ,$174.26 ,$171.12 
11/2/17,$168.11 ,39668100,$167.64 ,$168.50 ,$165.28 
11/1/17,$166.89 ,33482970,$169.87 ,$169.94 ,$165.61 
10/31/17,$169.04 ,35779520,$167.90 ,$169.65 ,$166.94 
10/30/17,$166.72 ,44651420,$163.89 ,$168.07 ,$163.72 
10/27/17,$163.05 ,44387770,$159.29 ,$163.60 ,$158.70 
10/26/17,$157.41 ,16916650,$157.23 ,$157.83 ,$156.78 
10/25/17,$156.41 ,21175670,$156.91 ,$157.55 ,$155.27 
10/24/17,$157.10 ,17633730,$156.29 ,$157.42 ,$156.20 
10/23/17,$156.17 ,21888930,$156.89 ,$157.69 ,$155.50 
10/20/17,$156.25 ,23907540,$156.61 ,$157.75 ,$155.96 
10/19/17,$155.98 ,42357420,$156.75 ,$157.08 ,$155.02 
10/18/17,$159.76 ,16252850,$160.42 ,$160.71 ,$159.60 
10/17/17,$160.47 ,18969700,$159.78 ,$160.87 ,$159.23 
10/16/17,$159.88 ,24093300,$157.90 ,$160 ,$157.65 
10/13/17,$156.99 ,16367780,$156.73 ,$157.28 ,$156.41 
10/12/17,$156 ,16380570,$156.35 ,$157.37 ,$155.73 
10/11/17,$156.55 ,16861450,$155.97 ,$156.98 ,$155.75 
10/10/17,$155.90 ,15603520,$156.06 ,$158 ,$155.10 
10/9/17,$155.84 ,16243080,$155.81 ,$156.73 ,$155.49 
10/6/17,$155.30 ,17223790,$154.97 ,$155.49 ,$154.56 
10/5/17,$155.39 ,21215870,$154.18 ,$155.44 ,$154.05 
10/4/17,$153.48 ,20088940,$153.63 ,$153.86 ,$152.46 
10/3/17,$154.48 ,16216800,$154.01 ,$155.09 ,$153.91 
10/2/17,$153.81 ,18631540,$154.26 ,$154.45 ,$152.72 
9/29/17,$154.12 ,26204670,$153.21 ,$154.13 ,$152 
9/28/17,$153.28 ,21983410,$153.89 ,$154.28 ,$152.70 
9/27/17,$154.23 ,25402270,$153.80 ,$154.72 ,$153.54 
9/26/17,$153.14 ,35907770,$151.78 ,$153.92 ,$151.69 
9/25/17,$150.55 ,44366140,$149.99 ,$151.83 ,$149.16 
9/22/17,$151.89 ,46575410,$152.02 ,$152.27 ,$150.56 
9/21/17,$153.39 ,37350060,$155.80 ,$155.80 ,$152.75 
9/20/17,$156.07 ,52126240,$157.90 ,$158.26 ,$153.83 
9/19/17,$158.73 ,20565620,$159.51 ,$159.77 ,$158.44 
9/18/17,$158.67 ,28157630,$160.11 ,$160.50 ,$158.00 
9/15/17,$159.88 ,48846060,$158.47 ,$160.97 ,$158 
9/14/17,$158.28 ,23637310,$158.99 ,$159.40 ,$158.09 
9/13/17,$159.65 ,44866280,$159.87 ,$159.96 ,$157.91 
9/12/17,$160.86 ,71574560,$162.61 ,$163.96 ,$158.77 
9/11/17,$161.50 ,31506890,$160.50 ,$162.05 ,$159.89 
9/8/17,$158.63 ,28411740,$160.86 ,$161.15 ,$158.53 
9/7/17,$161.26 ,21905160,$162.09 ,$162.24 ,$160.36 
9/6/17,$161.91 ,21610300,$162.71 ,$162.99 ,$160.52 
9/5/17,$162.08 ,29491910,$163.75 ,$164.25 ,$160.56 
9/1/17,$164.05 ,16564340,$164.80 ,$164.94 ,$163.63 
8/31/17,$164 ,26729940,$163.64 ,$164.52 ,$163.48 
8/30/17,$163.35 ,27215770,$163.80 ,$163.89 ,$162.61 
8/29/17,$162.91 ,29451050,$160.10 ,$163.12 ,$160 
8/28/17,$161.47 ,25649890,$160.14 ,$162 ,$159.93 
8/25/17,$159.86 ,25184600,$159.65 ,$160.56 ,$159.27 
8/24/17,$159.27 ,19782170,$160.43 ,$160.74 ,$158.55 
8/23/17,$159.98 ,19376940,$159.07 ,$160.47 ,$158.88 
8/22/17,$159.78 ,21564890,$158.23 ,$160 ,$158.02 
8/21/17,$157.21 ,26330070,$157.50 ,$157.89 ,$155.11 
8/18/17,$157.50 ,27391950,$157.86 ,$159.50 ,$156.72 
8/17/17,$157.86 ,27377960,$160.52 ,$160.71 ,$157.84 
8/16/17,$160.95 ,27607370,$161.94 ,$162.51 ,$160.15 
8/15/17,$161.60 ,29377630,$160.66 ,$162.20 ,$160.14 
8/14/17,$159.85 ,22074760,$159.32 ,$160.21 ,$158.75 
8/11/17,$157.48 ,26208970,$156.60 ,$158.57 ,$156.07 
8/10/17,$155.32 ,39636190,$159.90 ,$160 ,$154.63 
8/9/17,$161.06 ,26060430,$159.26 ,$161.27 ,$159.11 
8/8/17,$160.08 ,36127490,$158.60 ,$161.83 ,$158.27 
8/7/17,$158.81 ,21827400,$157.06 ,$158.92 ,$156.67 
8/4/17,$156.39 ,20514810,$156.07 ,$157.40 ,$155.69 
8/3/17,$155.57 ,26604140,$157.05 ,$157.21 ,$155.02 
8/2/17,$157.14 ,69726440,$159.28 ,$159.75 ,$156.16 
8/1/17,$150.05 ,33669020,$149.10 ,$150.22 ,$148.41 
7/31/17,$148.73 ,19690420,$149.90 ,$150.33 ,$148.13 
7/28/17,$149.50 ,17192770,$149.89 ,$150.23 ,$149.19 
7/27/17,$150.56 ,32429770,$153.75 ,$153.99 ,$147.30 
7/26/17,$153.46 ,15649120,$153.35 ,$153.93 ,$153.06 
7/25/17,$152.74 ,18798250,$151.80 ,$153.84 ,$151.80 
7/24/17,$152.09 ,21466370,$150.58 ,$152.44 ,$149.90 
7/21/17,$150.27 ,25111310,$149.99 ,$150.44 ,$148.88 
7/20/17,$150.34 ,17170490,$151.50 ,$151.74 ,$150.19 
7/19/17,$151.02 ,20859830,$150.48 ,$151.42 ,$149.95 
7/18/17,$150.08 ,17837130,$149.20 ,$150.13 ,$148.67 
7/17/17,$149.56 ,23765710,$148.82 ,$150.90 ,$148.57 
7/14/17,$149.04 ,20117070,$147.97 ,$149.33 ,$147.33 
7/13/17,$147.77 ,25080500,$145.50 ,$148.49 ,$145.44 
7/12/17,$145.74 ,24833800,$145.87 ,$146.18 ,$144.82 
